id,username,class,level,hp,inventory
1,ccaush0,Hero,33,58,"[{'id': 1, 'item_name': 'Lapis', 'price': 87755, 'rarity': 5, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
2,egotfrey1,Theif,76,85,"[{'id': 1, 'item_name': 'Seed', 'price': 51954, 'rarity': 5, 'type': 'Bow', 'atk': 245, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Energy Typhoon', 'price': 209213, 'rarity': 3, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Dinoblade', 'price': 103290, 'rarity': 1, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Energy Typhoon', 'price': 251727, 'rarity': 4, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Extortion of Vulnerabilities', 'price': 221274, 'rarity': 4, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
3,umacnalley2,Spellcaster,54,126,"[{'id': 1, 'item_name': 'Dinoblade', 'price': 106877, 'rarity': 1, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Energy Typhoon', 'price': 63209, 'rarity': 1, 'type': 'Cape', 'atk': 0, 'def': 202, 'hp_regen': 0}, {'id': 3, 'item_name': 'Stone Arm', 'price': 81351, 'rarity': 3, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
4,cstribbling3,Blade Dancer,67,153,"[{'id': 1, 'item_name': 'Silver Sword', 'price': 15535, 'rarity': 5, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Potion', 'price': 122947, 'rarity': 1, 'type': 'Shield', 'atk': 0, 'def': 129, 'hp_regen': 0}, {'id': 3, 'item_name': '', 'price': 82939, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 21}]"
5,bmaunders4,Viking,14,142,[]
6,dmaytom5,Pirate,6,176,[]
7,ccockburn6,Priest,32,224,"[{'id': 1, 'item_name': 'Stone Arm', 'price': 238631, 'rarity': 3, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Silver Sword', 'price': 38255, 'rarity': 5, 'type': 'Sword', 'atk': 233, 'def': 0, 'hp_regen': 0}]"
8,tmordaunt7,Bard,19,104,"[{'id': 1, 'item_name': 'Inferno', 'price': 81962, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 172}, {'id': 2, 'item_name': 'Stone Arm', 'price': 57829, 'rarity': 1, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Hymn of Water', 'price': 77868, 'rarity': 4, 'type': 'Sword', 'atk': 189, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Seed', 'price': 36707, 'rarity': 4, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
9,bhillan8,Priest,70,131,[]
10,lshefton9,Ninja,30,243,"[{'id': 1, 'item_name': 'Lapis', 'price': 192411, 'rarity': 3, 'type': 'Bow', 'atk': 207, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Mop', 'price': 202130, 'rarity': 5, 'type': 'Spell', 'atk': 250, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Extinguish', 'price': 128815, 'rarity': 4, 'type': 'Bow', 'atk': 88, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Mop', 'price': 226390, 'rarity': 3, 'type': 'Cape', 'atk': 0, 'def': 51, 'hp_regen': 0}, {'id': 5, 'item_name': 'Vajra Sword', 'price': 48534, 'rarity': 5, 'type': 'Bow', 'atk': 39, 'def': 0, 'hp_regen': 0}]"
11,crudsdella,Wizard,61,128,[]
12,bhogbenb,Warrior,52,141,[]
13,bjeandotc,Priest,79,90,"[{'id': 1, 'item_name': 'Mop', 'price': 15273, 'rarity': 3, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 57}, {'id': 2, 'item_name': 'Hymn of Water', 'price': 17057, 'rarity': 4, 'type': 'Sword', 'atk': 86, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Hi-Potion', 'price': 212625, 'rarity': 5, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
14,aheazeld,Bard,64,21,[]
15,glippoe,Spellcaster,27,104,"[{'id': 1, 'item_name': 'Stone Arm', 'price': 150370, 'rarity': 2, 'type': 'Bow', 'atk': 34, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Prismastone', 'price': 250977, 'rarity': 5, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Mid-Potion', 'price': 215726, 'rarity': 1, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 210}]"
16,pkilfedderf,Ranger,31,191,"[{'id': 1, 'item_name': 'Seed', 'price': 31903, 'rarity': 2, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Inferno', 'price': 77967, 'rarity': 4, 'type': 'Sword', 'atk': 98, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Elixir', 'price': 75926, 'rarity': 3, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Carnage of Pride', 'price': 78180, 'rarity': 1, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Mop', 'price': 105404, 'rarity': 1, 'type': 'Sword', 'atk': 235, 'def': 0, 'hp_regen': 0}]"
17,nbiasinig,Ninja,75,97,"[{'id': 1, 'item_name': 'Tin Arm', 'price': 176566, 'rarity': 5, 'type': 'Sword', 'atk': 84, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dreamseeker', 'price': 56472, 'rarity': 5, 'type': 'Bow', 'atk': 98, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Extinguish', 'price': 46774, 'rarity': 4, 'type': 'Bow', 'atk': 31, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Prismastone', 'price': 184129, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 19}]"
18,pwinsperh,Priest,39,68,"[{'id': 1, 'item_name': 'Barrier Sphere', 'price': 80566, 'rarity': 5, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dreamseeker', 'price': 36091, 'rarity': 2, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Silver Sword', 'price': 57158, 'rarity': 4, 'type': 'Cape', 'atk': 0, 'def': 162, 'hp_regen': 0}, {'id': 4, 'item_name': 'Demonic Blitz', 'price': 1168, 'rarity': 5, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
19,apyperi,Warrior,10,187,"[{'id': 1, 'item_name': 'Barrier Sphere', 'price': 223048, 'rarity': 5, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Carnage of Pride', 'price': 200296, 'rarity': 5, 'type': 'Cape', 'atk': 0, 'def': 76, 'hp_regen': 0}, {'id': 3, 'item_name': 'Silver Sword', 'price': 186543, 'rarity': 1, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Demonic Blitz', 'price': 121843, 'rarity': 4, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
20,gbiasottij,Ranger,48,219,"[{'id': 1, 'item_name': 'Energy Typhoon', 'price': 79958, 'rarity': 1, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Mid-Potion', 'price': 67294, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 86}, {'id': 3, 'item_name': 'Sun Stone', 'price': 162324, 'rarity': 4, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
21,ewhitehallk,Druid,78,164,"[{'id': 1, 'item_name': 'Mop', 'price': 31770, 'rarity': 4, 'type': 'Cape', 'atk': 0, 'def': 99, 'hp_regen': 0}, {'id': 2, 'item_name': 'Slasher', 'price': 182173, 'rarity': 5, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Slasher', 'price': 223665, 'rarity': 5, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Prismastone', 'price': 198660, 'rarity': 5, 'type': 'Sword', 'atk': 235, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Stone Arm', 'price': 198293, 'rarity': 4, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
22,mmetterickel,Hero,54,216,"[{'id': 1, 'item_name': 'Slasher', 'price': 234251, 'rarity': 3, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Rain of Revival', 'price': 196479, 'rarity': 2, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Mop', 'price': 205205, 'rarity': 5, 'type': 'Sword', 'atk': 253, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Hymn of Water', 'price': 20003, 'rarity': 2, 'type': 'Bow', 'atk': 100, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Vajra Sword', 'price': 29769, 'rarity': 5, 'type': 'Bow', 'atk': 169, 'def': 0, 'hp_regen': 0}]"
23,wscophamm,Wizard,71,122,[]
24,gwicklingn,Bard,39,130,"[{'id': 1, 'item_name': 'Mage Barrage', 'price': 10570, 'rarity': 2, 'type': 'Cape', 'atk': 0, 'def': 93, 'hp_regen': 0}]"
25,mkrzysztofo,Paladin,31,254,"[{'id': 1, 'item_name': 'Hi-Potion', 'price': 87241, 'rarity': 5, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Vajra Sword', 'price': 25958, 'rarity': 1, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Elixir', 'price': 111659, 'rarity': 2, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Mop', 'price': 107166, 'rarity': 1, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 152}]"
26,ivarseyp,Druid,73,53,[]
27,nkervinq,Necromancer,19,121,"[{'id': 1, 'item_name': 'Inferno', 'price': 239217, 'rarity': 4, 'type': 'Spell', 'atk': 161, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Inferno', 'price': 165753, 'rarity': 2, 'type': 'Shield', 'atk': 0, 'def': 16, 'hp_regen': 0}, {'id': 3, 'item_name': 'Rain of Revival', 'price': 109743, 'rarity': 3, 'type': 'Sword', 'atk': 59, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Energy Typhoon', 'price': 135851, 'rarity': 5, 'type': 'Bow', 'atk': 38, 'def': 0, 'hp_regen': 0}]"
28,vvintonr,Necromancer,54,214,"[{'id': 1, 'item_name': 'Extortion of Vulnerabilities', 'price': 120454, 'rarity': 5, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Wooden Sword', 'price': 177940, 'rarity': 1, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 133}, {'id': 3, 'item_name': 'Prismastone', 'price': 194603, 'rarity': 5, 'type': 'Cape', 'atk': 0, 'def': 187, 'hp_regen': 0}, {'id': 4, 'item_name': 'Hymn of Water', 'price': 208032, 'rarity': 4, 'type': 'Cape', 'atk': 0, 'def': 23, 'hp_regen': 0}]"
